열1,업소명,소재지,위도,경도
0,위스키메리(외국인전용),인천광역시 중구 개항로 5,37.4727557,126.6342411
1,디가디가노래타운,인천광역시 중구 홍예문로98번길 9,37.4767623,126.630116
2,향도 노래천국,인천광역시 중구 서해대로 462-3,37.4299811,126.6141701
3,거래처,인천광역시 중구 신포로27번길 32,37.4727937,126.6225932
4,미,인천광역시 중구 신포로23번길 32,37.4725047,126.6223375
5,첼로노래타운,인천광역시 중구 서해대로 462-2,37.4299811,126.6141701
6,씽씽가요방,인천광역시 중구 큰우물로 13,37.4727242,126.6317004
7,사탕,인천광역시 중구 신포로23번길 9,37.4725047,126.6223375
8,카카오 노래바,인천광역시 중구 홍예문로 13-2,37.4761306,126.6273687
9,1학년3반 노래타운,인천광역시 중구 제물량로 81,37.4778832,126.6175942
10,신포노래타운,인천광역시 중구 신포로15번길 8,37.471548,126.6225097
11,바다라,인천광역시 중구 신포로23번길 23,37.4725047,126.6223375
12,홀릭노래타운,인천광역시 중구 신포로 18,37.4698372,126.6235528
13,소풍노래타운,인천광역시 중구 제물량로166번길 1-21,37.4708945,126.6259498
14,아등,인천광역시 중구 홍예문로 13-2,37.4761306,126.6273687
15,코카인 노래밤,"인천광역시 중구 개항로 6,",37.4727557,126.6342411
16,가이가요주점,"인천광역시 중구 신포로 32-1,",37.4698372,126.6235528
17,마도로스스텐드바,인천광역시 중구 서해대로454번길 18,37.4659692,126.6359708
18,까치노래짱,인천광역시 중구 서해대로464번길 1-2,37.4681341,126.636234
19,강남,인천광역시 중구 신포로23번길 40,37.4725047,126.6223375
20,<REPLACE>007노래빵,인천광역시 중구 홍예문로 13-1,37.4761306,126.6273687
21,노래하는 청춘아,인천광역시 중구 도원로7번길 7,0,0
22,용궁 노래짱,"인천광역시 중구 우현로90번길 27,",37.4735518,126.6313363
23,귀빈노래짱,인천광역시 중구 연안부두로 35,37.4534107,126.5986944
24,왕대박노래짱,인천광역시 중구 우현로72번길 6,37.473385,126.629804
25,황제노래바,인천광역시 중구 연안부두로33번길 5,37.454007,126.6054663
26,보스룸클럽,"인천광역시 중구 흰바위로 35,",37.4922817,126.4904448
27,파인,인천광역시 중구 신포로23번길 32,37.4725047,126.6223375
28,브이아이피(VIP)노래클럽,"인천광역시 중구 신도시남로150번길 4,",37.4946591,126.4919888
29,썬가요주점,인천광역시 중구 참외전로 118-11,37.4736256,126.6334679
30,오렌지,인천광역시 중구 제물량로 249,37.4778832,126.6175942
31,아미,인천광역시 중구 신포로 26-2,37.4698372,126.6235528
32,7080뮤지션라이브,인천광역시 중구 연안부두로33번길 6,37.454007,126.6054663
33,발리노래클럽,인천광역시 중구 신도시남로142번길 1,37.4942141,126.4908202
34,행운노래바,"인천광역시 중구 홍예문로 13,",37.4761306,126.6273687
35,미성가요방,인천광역시 중구 우현로90번길 33,37.4735518,126.6313363
36,비취노래주점,"인천광역시 중구 연안부두로33번길 16,",37.454007,126.6054663
37,왕궁노래타운,인천광역시 중구 신포로 16-1,37.4698372,126.6235528
38,토마토노래클럽,"인천광역시 중구 흰바위로 37,",37.4922817,126.4904448
39,상록수 가요주점,인천광역시 중구 연안부두로33번길 5,37.454007,126.6054663
40,파티파티노래클럽,"인천광역시 중구 신도시남로142번길 5,",37.4941037,126.4912929
41,테라,"인천광역시 중구 신도시남로149번길 1,",37.4946933,126.4904776
42,천하뮤직뱅크,"인천광역시 중구 신도시남로141번길 2,",37.4939281,126.4898252
43,보보스,인천광역시 중구 용유서로 283,37.4422388,126.4047243
44,연예인Ⅰ,"인천광역시 중구 신도시남로149번길 15,",37.4946933,126.4904776
45,벤츠노래클럽,"인천광역시 중구 신도시남로150번길 2,",37.4946591,126.4919888
46,강남 텐프로,"인천광역시 중구 신도시남로142번길 3,",37.4941336,126.4910772
47,앗싸크럽,인천광역시 중구 우현로35번길 23-1,37.470541,126.6262936
48,처음처럼,"인천광역시 중구 월미문화로 37-1,",37.4772659,126.5989588
49,맘모스광장,"인천광역시 중구 연안부두로33번길 21,",37.454007,126.6054663
50,파티파티노래클럽,"인천광역시 중구 을왕로58번길 7,",37.4498111,126.3727686
51,등대,인천광역시 중구 제물량로 22,37.4778832,126.6175942
52,돌고래,"인천광역시 중구 제물량로24번길 6-15,",37.46272,126.6385432
53,프린스 노래타운,인천광역시 중구 신포로27번길 16,37.4727937,126.6225932
54,신바람노래광장,인천광역시 중구 신포로 21,37.4698372,126.6235528
55,코코,인천광역시 중구 신포로23번길 19,37.4725047,126.6223375
56,보물섬노래클럽,"인천광역시 중구 운중로21번길 8,",37.4937084,126.536245
57,허니노래짱,"인천광역시 중구 신포로 40,",37.4698372,126.6235528
58,둥지노래클럽,"인천광역시 중구 신도시남로141번길 2,",37.4939281,126.4898252
59,써드베이스노래타운,"인천광역시 중구 신도시남로141번길 5-8,",37.4939281,126.4898252
60,싱싱,인천광역시 중구 개항로 14,37.4727557,126.6342411
61,오페라 노래나라,인천광역시 중구 우현로39번길 21-2,37.4708945,126.6259498
62,7080라이브호프광장,"인천광역시 중구 연안부두로33번길 10,",37.454007,126.6054663
63,만남,"인천광역시 중구 제물량로 63-1,",37.4778832,126.6175942
64,별밤노래클럽,인천광역시 중구 신포로23번길 31-1,37.4725047,126.6223375
